design_id,design_sha256,experiment_id,replication_seed,archetype,signal_accuracy,flexibility_level,allowed_actions_json,no_information_action,signal_actions_json,no_information_value,signal_value,value_of_information,policy_actionable,action_set_nested,payoff_matrix_json,evidence_status,garbling_from_0_90_json,exact_anchor
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,0,dominated_option_null,0.5,high,"[0,1]",0,"[0,0]",9.0,9.0,0.0,False,True,"[[9.0,9.0],[0.0,0.0],[5.0,5.0]]",EXACT_FINITE_SYNTHETIC_ANCHOR,"[[0.4999999999999999,0.5000000000000001],[0.5000000000000001,0.4999999999999999]]",True
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,0,dominated_option_null,0.5,low,[0],0,"[0,0]",9.0,9.0,0.0,False,True,"[[9.0,9.0],[0.0,0.0],[5.0,5.0]]",EXACT_FINITE_SYNTHETIC_ANCHOR,"[[0.4999999999999999,0.5000000000000001],[0.5000000000000001,0.4999999999999999]]",True
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,0,dominated_option_null,0.7,high,"[0,1]",0,"[0,0]",9.0,9.0,0.0,False,True,"[[9.0,9.0],[0.0,0.0],[5.0,5.0]]",EXACT_FINITE_SYNTHETIC_ANCHOR,"[[0.7500000000000001,0.2499999999999999],[0.2499999999999999,0.7500000000000001]]",True
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,0,dominated_option_null,0.7,low,[0],0,"[0,0]",9.0,9.0,0.0,False,True,"[[9.0,9.0],[0.0,0.0],[5.0,5.0]]",EXACT_FINITE_SYNTHETIC_ANCHOR,"[[0.7500000000000001,0.2499999999999999],[0.2499999999999999,0.7500000000000001]]",True
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,0,dominated_option_null,0.9,high,"[0,1]",0,"[0,0]",9.0,9.0,0.0,False,True,"[[9.0,9.0],[0.0,0.0],[5.0,5.0]]",EXACT_FINITE_SYNTHETIC_ANCHOR,"[[1.0,0.0],[0.0,1.0]]",True
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,0,dominated_option_null,0.9,low,[0],0,"[0,0]",9.0,9.0,0.0,False,True,"[[9.0,9.0],[0.0,0.0],[5.0,5.0]]",EXACT_FINITE_SYNTHETIC_ANCHOR,"[[1.0,0.0],[0.0,1.0]]",True
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,202607226001,dominated_option_null,0.5,high,"[0,1]",0,"[0,0]",9.00852903329614,9.00852903329614,0.0,False,True,"[[8.869548831091192,9.147509235501088],[0.8365683252238549,-0.8716419752372205],[5.504382043769212,4.299052522563484]]",FINITE_SYNTHETIC_DESIGN_NOT_EMPIRICAL,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,202607226001,dominated_option_null,0.5,low,[0],0,"[0,0]",9.00852903329614,9.00852903329614,0.0,False,True,"[[8.869548831091192,9.147509235501088],[0.8365683252238549,-0.8716419752372205],[5.504382043769212,4.299052522563484]]",FINITE_SYNTHETIC_DESIGN_NOT_EMPIRICAL,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,202607226001,dominated_option_null,0.7,high,"[0,1]",0,"[0,0]",9.00852903329614,9.00852903329614,0.0,False,True,"[[8.869548831091192,9.147509235501088],[0.8365683252238549,-0.8716419752372205],[5.504382043769212,4.299052522563484]]",FINITE_SYNTHETIC_DESIGN_NOT_EMPIRICAL,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,202607226001,dominated_option_null,0.7,low,[0],0,"[0,0]",9.00852903329614,9.00852903329614,0.0,False,True,"[[8.869548831091192,9.147509235501088],[0.8365683252238549,-0.8716419752372205],[5.504382043769212,4.299052522563484]]",FINITE_SYNTHETIC_DESIGN_NOT_EMPIRICAL,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,202607226001,dominated_option_null,0.9,high,"[0,1]",0,"[0,0]",9.00852903329614,9.00852903329614,0.0,False,True,"[[8.869548831091192,9.147509235501088],[0.8365683252238549,-0.8716419752372205],[5.504382043769212,4.299052522563484]]",FINITE_SYNTHETIC_DESIGN_NOT_EMPIRICAL,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,202607226001,dominated_option_null,0.9,low,[0],0,"[0,0]",9.00852903329614,9.00852903329614,0.0,False,True,"[[8.869548831091192,9.147509235501088],[0.8365683252238549,-0.8716419752372205],[5.504382043769212,4.299052522563484]]",FINITE_SYNTHETIC_DESIGN_NOT_EMPIRICAL,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,202607226002,dominated_option_null,0.5,high,"[0,1]",0,"[0,0]",8.594214351881144,8.594214351881144,0.0,False,True,"[[9.03186775116272,8.156560952599568],[-0.18927490621906137,1.5929594092975736],[6.2976359168286455,4.785267570561741]]",FINITE_SYNTHETIC_DESIGN_NOT_EMPIRICAL,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,202607226002,dominated_option_null,0.5,low,[0],0,"[0,0]",8.594214351881144,8.594214351881144,0.0,False,True,"[[9.03186775116272,8.156560952599568],[-0.18927490621906137,1.5929594092975736],[6.2976359168286455,4.785267570561741]]",FINITE_SYNTHETIC_DESIGN_NOT_EMPIRICAL,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,202607226002,dominated_option_null,0.7,high,"[0,1]",0,"[0,0]",8.594214351881144,8.594214351881144,0.0,False,True,"[[9.03186775116272,8.156560952599568],[-0.18927490621906137,1.5929594092975736],[6.2976359168286455,4.785267570561741]]",FINITE_SYNTHETIC_DESIGN_NOT_EMPIRICAL,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,202607226002,dominated_option_null,0.7,low,[0],0,"[0,0]",8.594214351881144,8.594214351881144,0.0,False,True,"[[9.03186775116272,8.156560952599568],[-0.18927490621906137,1.5929594092975736],[6.2976359168286455,4.785267570561741]]",FINITE_SYNTHETIC_DESIGN_NOT_EMPIRICAL,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E6,202607226002,dominated_option_null,0.9,high,"[0,1]",0,"[0,0]",8.594214351881144,8.594214351881144,0.0,False,True,"[[9.03186775116272,8.156560952599568],[-0.18927490621906137,1.5929594092975736],[6.2976359168286455,4.785267570561741]]",FINITE_SYNTHETIC_DESIGN_NOT_EMPIRICAL,,
